attendance,punctuality,sprint_completion,task_quality,deadline_met,communication,collaboration,initiative_score,performance
41.16,0,14.285714285714285,24.68,24.68,22.727272727272727,20.454545454545453,21.428571428571427,Poor
85.01,100,100.0,94.44,98.46,89.47368421052632,80.52631578947368,90.0,Good
85.7,100,100.0,90.5,85.0,86.95652173913044,78.26086956521739,88.88888888888889,Good
52.15,0,20.0,37.77,21.39,19.047619047619047,17.142857142857142,23.076923076923077,Poor
95.26,100,75.0,86.09,77.44,87.5,78.75,77.77777777777779,Good
53.25,0,14.285714285714285,47.28,27.76,13.636363636363635,12.272727272727272,9.090909090909092,Poor
71.24,100,80.0,50.94,71.06,83.33333333333334,75.00000000000001,61.53846153846154,Average
78.68,0,71.42857142857143,78.84,71.11,95.23809523809523,85.71428571428571,92.85714285714286,Average
99.8,100,100.0,96.04,76.86,86.95652173913044,78.26086956521739,75.0,Good
94.09,100,100.0,94.23,94.75,82.35294117647058,74.11764705882352,100.0,Good
61.59,0,66.66666666666666,68.7,58.27,95.23809523809523,85.71428571428571,87.5,Average
62.99,100,57.14285714285714,76.62,61.81,81.81818181818183,73.63636363636364,90.0,Average
42.22,0,25.0,21.21,41.32,33.33333333333333,29.999999999999996,16.666666666666664,Poor
88.74,100,83.33333333333334,90.17,97.69,83.33333333333334,75.00000000000001,85.71428571428571,Good
94.37,100,83.33333333333334,93.9,97.01,95.23809523809523,85.71428571428571,83.33333333333334,Good
63.05,0,50.0,76.5,58.11,83.33333333333334,75.00000000000001,76.92307692307693,Average
40.14,0,20.0,44.54,45.82,39.130434782608695,35.21739130434783,12.5,Poor
43.37,0,25.0,28.08,27.32,20.0,18.0,38.46153846153847,Poor
95.68,100,85.71428571428571,84.94,92.41,100.0,90.0,84.61538461538461,Good
89.18,100,100.0,90.05,76.29,86.66666666666667,78.0,100.0,Good
93.89,100,75.0,88.96,88.82,100.0,90.0,92.3076923076923,Good
47.98,0,33.33333333333333,34.11,49.5,40.0,36.0,10.0,Poor
40.33,0,28.57142857142857,37.73,40.33,15.0,13.5,12.5,Poor
50.36,0,16.666666666666664,48.22,31.93,19.047619047619047,17.142857142857142,36.36363636363637,Poor
88.43,100,100.0,90.83,92.39,93.75,84.375,75.0,Good
73.96,100,57.14285714285714,79.89,74.14,66.66666666666666,59.99999999999999,81.81818181818183,Average
57.76,0,16.666666666666664,45.69,32.14,17.647058823529413,15.882352941176473,37.5,Poor
58.8,0,25.0,37.42,31.17,18.181818181818183,16.363636363636367,18.181818181818183,Poor
87.64,100,100.0,88.97,99.86,87.5,78.75,92.3076923076923,Good
92.63,100,80.0,86.16,88.56,82.35294117647058,74.11764705882352,100.0,Good
75.78,100,66.66666666666666,61.79,72.3,85.0,76.5,92.3076923076923,Good
93.58,100,80.0,84.6,87.48,80.0,72.0,100.0,Good
98.92,100,85.71428571428571,87.4,75.39,89.47368421052632,80.52631578947368,90.9090909090909,Good
97.77,100,80.0,85.89,84.63,100.0,90.0,100.0,Good
52.3,0,28.57142857142857,37.1,22.92,15.0,13.5,25.0,Poor
63.42,100,66.66666666666666,59.68,71.22,62.5,56.25,71.42857142857143,Average
41.63,0,25.0,27.69,38.35,12.5,11.25,33.33333333333333,Poor
41.02,0,25.0,22.13,31.9,5.555555555555555,5.0,9.090909090909092,Poor
43.1,0,16.666666666666664,40.16,29.84,43.75,39.375,18.181818181818183,Poor
69.0,100,75.0,51.12,70.57,60.0,54.0,66.66666666666666,Average
91.17,100,100.0,96.84,79.86,100.0,90.0,83.33333333333334,Good
47.98,0,33.33333333333333,41.44,21.23,25.0,22.5,36.36363636363637,Poor
53.92,0,28.57142857142857,48.88,45.08,10.526315789473683,9.473684210526315,14.285714285714285,Poor
94.9,100,100.0,90.98,92.86,100.0,90.0,77.77777777777779,Good
93.49,100,100.0,94.6,76.19,89.47368421052632,80.52631578947368,100.0,Good
54.07,0,25.0,21.22,45.66,36.84210526315789,33.1578947368421,7.6923076923076925,Poor
75.4,0,80.0,63.02,59.96,93.33333333333333,84.0,83.33333333333334,Average
77.1,100,85.71428571428571,65.03,63.48,64.70588235294117,58.23529411764706,66.66666666666666,Average
42.57,0,20.0,40.32,37.2,44.44444444444444,40.0,37.5,Poor
89.11,100,83.33333333333334,93.03,80.17,80.0,72.0,100.0,Good
46.38,0,20.0,40.49,22.14,11.76470588235294,10.588235294117647,11.11111111111111,Poor
68.71,0,80.0,64.88,67.32,58.82352941176471,52.94117647058824,61.53846153846154,Average
97.1,100,100.0,83.55,93.77,100.0,90.0,75.0,Good
93.43,100,100.0,91.61,96.68,93.33333333333333,84.0,90.9090909090909,Good
92.45,100,83.33333333333334,87.55,88.36,82.35294117647058,74.11764705882352,85.71428571428571,Good
86.37,100,80.0,80.22,97.63,100.0,90.0,100.0,Good
45.86,0,28.57142857142857,38.96,33.45,11.76470588235294,10.588235294117647,28.57142857142857,Poor
92.42,100,85.71428571428571,95.79,77.28,100.0,90.0,83.33333333333334,Good
42.34,0,20.0,46.63,30.53,15.789473684210526,14.210526315789473,14.285714285714285,Poor
90.95,100,100.0,88.52,80.56,95.0,85.5,81.81818181818183,Good
47.41,0,20.0,49.6,31.23,31.57894736842105,28.421052631578945,11.11111111111111,Poor
96.66,100,83.33333333333334,87.53,77.09,100.0,90.0,75.0,Good
70.13,100,83.33333333333334,63.03,56.34,94.11764705882352,84.70588235294117,66.66666666666666,Average
70.01,100,57.14285714285714,70.43,55.94,57.14285714285714,51.42857142857142,57.14285714285714,Average
93.34,100,100.0,96.04,99.45,89.47368421052632,80.52631578947368,87.5,Good
