intern_id,sprints_done,sprints_total,tasks_completed,tasks_assigned,meetings_attended,meetings_total,code_review_score,deadline_met_percentage,attendance_percentage,punctuality
RX0001,1,7,3,14,5,22,24.68,24.68,41.16,0
RX0002,7,7,9,10,17,19,94.44,98.46,85.01,1
RX0003,4,4,8,9,20,23,90.5,85.0,85.7,1
RX0004,1,5,3,13,4,21,37.77,21.39,52.15,0
RX0005,3,4,7,9,14,16,86.09,77.44,95.26,1
RX0006,1,7,1,11,3,22,47.28,27.76,53.25,0
RX0007,4,5,8,13,15,18,50.94,71.06,71.24,1
RX0008,5,7,13,14,20,21,78.84,71.11,78.68,0
RX0009,7,7,6,8,20,23,96.04,76.86,99.8,1
RX0010,7,7,14,14,14,17,94.23,94.75,94.09,1
RX0011,4,6,7,8,20,21,68.7,58.27,61.59,0
RX0012,4,7,9,10,18,22,76.62,61.81,62.99,1
RX0013,1,4,2,12,7,21,21.21,41.32,42.22,0
RX0014,5,6,12,14,15,18,90.17,97.69,88.74,1
RX0015,5,6,10,12,20,21,93.9,97.01,94.37,1
RX0016,2,4,10,13,15,18,76.5,58.11,63.05,0
RX0017,1,5,1,8,9,23,44.54,45.82,40.14,0
RX0018,1,4,5,13,3,15,28.08,27.32,43.37,0
RX0019,6,7,11,13,24,24,84.94,92.41,95.68,1
RX0020,4,4,8,8,13,15,90.05,76.29,89.18,1
RX0021,3,4,12,13,19,19,88.96,88.82,93.89,1
RX0022,2,6,1,10,8,20,34.11,49.5,47.98,0
RX0023,2,7,1,8,3,20,37.73,40.33,40.33,0
RX0024,1,6,4,11,4,21,48.22,31.93,50.36,0
RX0025,6,6,6,8,15,16,90.83,92.39,88.43,1
RX0026,4,7,9,11,10,15,79.89,74.14,73.96,1
RX0027,1,6,3,8,3,17,45.69,32.14,57.76,0
RX0028,1,4,2,11,4,22,37.42,31.17,58.8,0
RX0029,4,4,12,13,14,16,88.97,99.86,87.64,1
RX0030,4,5,11,11,14,17,86.16,88.56,92.63,1
RX0031,4,6,12,13,17,20,61.79,72.3,75.78,1
RX0032,4,5,11,11,12,15,84.6,87.48,93.58,1
